family,provider,symbol,branch_path,main_regime,volatility_bucket,momentum_bucket,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
fvg_retrace_continuation_v1,yahoo,ES,insufficient_context->unknown_volatility->unknown_momentum->fvg_retrace_continuation,insufficient_context,unknown_volatility,unknown_momentum,8,0.375,-0.0011264144893014716,-0.009011315914411773,0.5225852549461487
fvg_retrace_continuation_v1,yahoo,ES,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,76,0.3157894736842105,-0.0022224549083314903,-0.16890657303319326,0.37188394279213016
fvg_retrace_continuation_v1,yahoo,ES,range_or_de_risk->high_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,up_momentum,68,0.3382352941176471,-0.0016776347230886752,-0.11407916117002992,0.5195765560324401
fvg_retrace_continuation_v1,yahoo,ES,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,173,0.4508670520231214,-0.0008418605123558378,-0.14564186863755993,0.6997989310029432
fvg_retrace_continuation_v1,yahoo,ES,range_or_de_risk->normal_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,up_momentum,241,0.4730290456431535,-0.0005523525226734682,-0.13311695796430584,0.764745807021122
fvg_retrace_continuation_v1,yahoo,ES,trend_expansion->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,down_or_flat_momentum,153,0.4444444444444444,-0.0005916536859451981,-0.09052301394961532,0.8380469935615883
fvg_retrace_continuation_v1,yahoo,ES,trend_expansion->high_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,up_momentum,97,0.4742268041237113,-0.0009211764126552492,-0.08935411202755916,0.6350727911683987
fvg_retrace_continuation_v1,yahoo,ES,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,213,0.4647887323943662,-0.0008965065127663758,-0.19095588721923806,0.7970659812516387
fvg_retrace_continuation_v1,yahoo,ES,trend_expansion->normal_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,up_momentum,442,0.41855203619909503,-0.0010190276214374105,-0.45041020867533543,0.6059277888788027
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->ob_fvg_confluence_continuation,insufficient_context,unknown_volatility,unknown_momentum,5,0.8,0.013975342552220594,0.06987671276110297,7.093921466115895
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,113,0.37168141592920356,-0.003404610107495195,-0.384720942146957,0.5948588009522888
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,up_momentum,126,0.47619047619047616,0.00025537206645408217,0.03217688037321435,1.0394660909572901
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,477,0.46750524109014674,-0.0008142756220562546,-0.38840947172083345,0.8996416746274382
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,up_momentum,473,0.4376321353065539,-0.003214752259112446,-1.520577818560187,0.6534044496249617
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,down_or_flat_momentum,201,0.4129353233830846,-0.006657786272361881,-1.3382150407447382,0.541796985321187
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,up_momentum,175,0.4685714285714286,-0.0009015245061313138,-0.15776678857297993,0.9041779257080031
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,448,0.40625,-0.003583268540625653,-1.6053043062002925,0.6499606510310534
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,up_momentum,621,0.45893719806763283,0.00030931545039121684,0.19208489469294568,1.0387031643495508
ob_fvg_confluence_continuation_v1,ibkr,SPY,insufficient_context->unknown_volatility->unknown_momentum->ob_fvg_confluence_continuation,insufficient_context,unknown_volatility,unknown_momentum,4,0.25,-0.005434581352708089,-0.021738325410832357,0.3229023885801241
ob_fvg_confluence_continuation_v1,ibkr,SPY,range_or_de_risk->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,35,0.4,0.005471221377171665,0.19149274820100828,2.371360118271875
ob_fvg_confluence_continuation_v1,ibkr,SPY,range_or_de_risk->high_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,up_momentum,25,0.68,0.0023307456688960978,0.05826864172240244,1.873547072617942
ob_fvg_confluence_continuation_v1,ibkr,SPY,range_or_de_risk->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,79,0.34177215189873417,-0.002053637578577028,-0.1622373687075852,0.5150301418538235
ob_fvg_confluence_continuation_v1,ibkr,SPY,range_or_de_risk->normal_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,up_momentum,108,0.4537037037037037,-0.0006381633504002134,-0.06892164184322304,0.7763118468382981
ob_fvg_confluence_continuation_v1,ibkr,SPY,trend_expansion->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,down_or_flat_momentum,67,0.43283582089552236,-0.0014177254354892895,-0.09498760417778239,0.7592169269911215
