market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
GLD/USD,4h,sideways_breakout_failure,429,1,0.02758335451494112,1.0,0.02758335451494112
GLD/USD,4h,sideways_compression_carry,429,0,0.0,0.0,0.0
GLD/USD,4h,crisis_tail_short,429,0,0.0,0.0,0.0
GLD/USD,4h,crisis_defensive_long,429,0,0.0,0.0,0.0
GLD/USD,4h,crisis_panic_reversal,429,0,0.0,0.0,0.0
BTC/USDT,1h,bull_risk_on_momentum_fast,44504,1840,-0.0012812273183153032,0.4108695652173913,-2.3574582657001577
BTC/USDT,1h,bull_risk_on_pullback,44504,301,-0.0018643462469964875,0.46511627906976744,-0.5611682203459427
BTC/USDT,1h,bull_crypto_carry,44504,1278,-0.0011395212465504885,0.42566510172143973,-1.4563081530915243
BTC/USDT,1h,bear_risk_off_short,44504,498,-0.00013093329426732607,0.45180722891566266,-0.06520478054512838
BTC/USDT,1h,bear_failed_rally_short,44504,63,0.0037942571291685444,0.5238095238095238,0.2390381991376183
BTC/USDT,1h,bear_defensive_long,44504,0,0.0,0.0,0.0
BTC/USDT,1h,sideways_range_reversion,44504,617,-0.0009036745492641797,0.48946515397082657,-0.5575671968959989
BTC/USDT,1h,sideways_breakout_failure,44504,0,0.0,0.0,0.0
BTC/USDT,1h,sideways_compression_carry,44504,703,-0.0028739963824060727,0.4039829302987198,-2.020419456831469
BTC/USDT,1h,crisis_tail_short,44504,60,-0.0023032363027448723,0.38333333333333336,-0.13819417816469234
BTC/USDT,1h,crisis_defensive_long,44504,0,0.0,0.0,0.0
BTC/USDT,1h,crisis_panic_reversal,44504,25,-0.007039360562490209,0.44,-0.17598401406225522
BTC/USDT,4h,bull_risk_on_momentum_fast,11137,633,-0.00038209901541295596,0.4265402843601896,-0.2418686767564011
BTC/USDT,4h,bull_risk_on_pullback,11137,68,-0.003974717414594029,0.38235294117647056,-0.270280784192394
BTC/USDT,4h,bull_crypto_carry,11137,529,-0.0015151829391243609,0.42344045368620037,-0.8015317747967869
BTC/USDT,4h,bear_risk_off_short,11137,197,-0.0019272258593094906,0.4619289340101523,-0.37966349428396967
BTC/USDT,4h,bear_failed_rally_short,11137,16,0.007171742103635803,0.6875,0.11474787365817285
BTC/USDT,4h,bear_defensive_long,11137,0,0.0,0.0,0.0
BTC/USDT,4h,sideways_range_reversion,11137,160,-0.002586620979000736,0.4375,-0.41385935664011775
BTC/USDT,4h,sideways_breakout_failure,11137,0,0.0,0.0,0.0
BTC/USDT,4h,sideways_compression_carry,11137,197,0.00377580942547075,0.4873096446700508,0.7438344568177377
BTC/USDT,4h,crisis_tail_short,11137,18,-0.0005410389575194272,0.4444444444444444,-0.00973870123534969
BTC/USDT,4h,crisis_defensive_long,11137,0,0.0,0.0,0.0
BTC/USDT,4h,crisis_panic_reversal,11137,10,0.007264050580301451,0.5,0.07264050580301451
ETH/USDT,1h,bull_risk_on_momentum_fast,44504,1845,4.243333847608952e-05,0.45799457994579945,0.07828950948838517
ETH/USDT,1h,bull_risk_on_pullback,44504,280,-0.0014816724021253504,0.45357142857142857,-0.4148682725950981
ETH/USDT,1h,bull_crypto_carry,44504,1273,0.0005680758298207794,0.4752553024351925,0.7231605313618522
ETH/USDT,1h,bear_risk_off_short,44504,496,0.001245169991865375,0.47580645161290325,0.617604315965226
ETH/USDT,1h,bear_failed_rally_short,44504,60,0.0035339109393161946,0.43333333333333335,0.21203465635897167
ETH/USDT,1h,bear_defensive_long,44504,0,0.0,0.0,0.0
ETH/USDT,1h,sideways_range_reversion,44504,595,-0.0023112499375700438,0.4789915966386555,-1.375193712854176
ETH/USDT,1h,sideways_breakout_failure,44504,0,0.0,0.0,0.0
ETH/USDT,1h,sideways_compression_carry,44504,676,-0.0007456261423102793,0.4289940828402367,-0.5040432722017488
ETH/USDT,1h,crisis_tail_short,44504,58,0.0007195343392745248,0.5172413793103449,0.04173299167792244
ETH/USDT,1h,crisis_defensive_long,44504,0,0.0,0.0,0.0
ETH/USDT,1h,crisis_panic_reversal,44504,29,-0.0077292436748436204,0.4482758620689655,-0.224148066570465
ETH/USDT,4h,bull_risk_on_momentum_fast,11137,644,0.00013350156790363903,0.4751552795031056,0.08597500972994354
ETH/USDT,4h,bull_risk_on_pullback,11137,85,-0.0003905386042180185,0.5529411764705883,-0.03319578135853157
ETH/USDT,4h,bull_crypto_carry,11137,548,0.0008934807642271919,0.46167883211678834,0.48962745879650116
ETH/USDT,4h,bear_risk_off_short,11137,192,-0.0019362844924127015,0.4895833333333333,-0.37176662254323867
ETH/USDT,4h,bear_failed_rally_short,11137,24,0.01608281945016567,0.625,0.3859876668039761
ETH/USDT,4h,bear_defensive_long,11137,0,0.0,0.0,0.0
ETH/USDT,4h,sideways_range_reversion,11137,155,-0.009244023759894221,0.36774193548387096,-1.4328236827836043
ETH/USDT,4h,sideways_breakout_failure,11137,0,0.0,0.0,0.0
ETH/USDT,4h,sideways_compression_carry,11137,201,0.00568081177786182,0.48756218905472637,1.1418431673502258
ETH/USDT,4h,crisis_tail_short,11137,21,0.007329506614009009,0.6190476190476191,0.1539196388941892
ETH/USDT,4h,crisis_defensive_long,11137,0,0.0,0.0,0.0
ETH/USDT,4h,crisis_panic_reversal,11137,14,0.014226281298025159,0.5,0.19916793817235223
BNB/USDT,1h,bull_risk_on_momentum_fast,44504,1894,0.0001501471298556916,0.4582893347412883,0.2843786639466799
BNB/USDT,1h,bull_risk_on_pullback,44504,275,-0.0010120975170179063,0.4509090909090909,-0.27832681717992425
BNB/USDT,1h,bull_crypto_carry,44504,1307,0.0013517024462074416,0.48048967100229534,1.7666750971931262
BNB/USDT,1h,bear_risk_off_short,44504,499,-0.00039198391903246357,0.45490981963927857,-0.19559997559719933
BNB/USDT,1h,bear_failed_rally_short,44504,56,-0.0024600769353777326,0.44642857142857145,-0.13776430838115303
